Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
04/11/1920,,"Heller Field, New Jersey",US Aerial Mail Service,,,Curtiss JN-4H,44,,2,1,0,
05/12/1920,,"Oskaloosa, Iowa",US Aerial Mail Service,,,De Havilland DH-4,79,,2,1,0,
06/06/1920,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,204,,1,1,0,
08/16/1920,,"Bedford, England",By Air,,,Armstrong-Whitworth F-K-8,G-EALW,,1,1,0,
08/16/1920,,"College Park, Maryland",US Aerial Mail Service,,,De Havilland DH-4,317,,1,1,0,
09/01/1920,,"Morristown, New Jersey",US Aerial Mail Service,,,Junkers JL-6,305,,2,2,0,
09/15/1920,,"Pemberville, Ohio",US Aerial Mail Service,,,Junkers F-13,308,,2,2,0,
09/27/1920,,"Hillersburg, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,316,,1,1,0,
10/02/1920,,"Off Port Vendres, France",Latecoere Airlines,,,Salmson 2-A-2,F-ALAI,31,2,2,0,
10/05/1920,,"Valencia, Spain",Latecoere Airlines,,,Breguet 14,F-ALTA,20,2,2,0,Crashed while landing.
10/15/1920,,"Batavia, Illinois",US Aerial Mail Service,,,De Havilland DH-4,76,,1,1,0,
11/07/1920,,"Tie Siding, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,,178,1,1,0,
12/14/1920,,"Cricklewood, England",Handley Page Transport,,,Handley Page HP-16,G-EAMA,HP-25,8,4,0,Crashed into a tree on take off in fog.
12/24/1920,,"Barcelona, Spain",Aeropostale,,,Breguet 14,F-ALBO,,1,1,0,
02/03/1921,,"Mendotta, Minnisota",US Aerial Mail Service,,,De Havilland DH-4,130,,1,1,0,
02/09/1921,,"La Crosse, Wisconsin",US Aerial Mail Service,,,Junkers F-13,301,,3,3,0,
02/15/1921,,Off Gibraltar,Aeropostale,,,Breguet 14,F-ALBA,,2,2,0,
02/22/1921,,"Elko, Nevada",US Aerial Mail Service,,,De Havilland DH-4,67,,1,1,0,
04/06/1921,,"Point Cook, Australia",Military - Royal Australian Air Force,,,,H3021,,2,1,0,
04/21/1921,,"Mitchel Field, NY",US Aerial Mail Service,,,De Havilland DH-4,160,,1,1,0,
04/29/1921,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,196,,1,1,0,
05/17/1921,,"Rock Springs, Wyoming",US Aerial Mail Service,,,,176,,1,1,0,
07/16/1921,,"San Francisco, California",US Aerial Mail Service,,,De Havilland DH-4,222,,1,1,0,
08/14/1921,,"Toulouse, France",Aeropostale,,,Breguet 14,F-ALBI,,2,2,0,
08/24/1921,17:40,"River Humber, England",Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,R-38,46,46,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
09/06/1921,,"Paris, France",Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5,5,0,Crashed while making an approach to Le Bourget Airport in Paris.
12/05/1921,,"Near Murchinson River, Australia",West Australian Airways,,,Bristol 28 Tourer,G-AUDI,6116,3,3,0,
01/14/1922,,"Paris, France",Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5,5,5,Crashed at Le Bourget field.
02/21/1922,,"Near Norfolk, Virginia",Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45,34,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
04/07/1922,,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,,,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,7,0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
04/08/1922,,"Pao Ting Fou, China",,,,,,,17,17,0,All seventeen aboard were Chinese nationals.
04/13/1922,,"Brooklands, England",Vickers,,,Vickers Viking,G-EBBZ,,3,3,0,
10/01/1925,,"Nittany Mt, Ohio",US Aerial Mail Service,,,De Havilland DH-4,385,,1,1,0,
06/03/1922,,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,,,Bleriot Spad 27,F-CMAY,1254,3,3,0,
07/26/1922,,"Cadix, Spain",Grands Express Aeriens,,,Breguet 14,,,3,3,0,
09/07/1922,,"Indianapolis, Indiana",US Aerial Mail Service,,,De Havilland DH-4,227,,1,1,0,
10/02/1922,,"Venice, Italy",,,,de Havilland DH-9,G-EAYT,,4,4,0,
10/25/1922,,"Larache, Morocco",Grands Express Aeriens,,,Breguet 14,,,2,2,0,
12/03/1922,,"Fez, Morocco",Grands Express Aeriens,,,Breguet 14,,,1,1,0,
01/10/1923,,"Ajaccio, France",Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,,4,3,0,
01/17/1923,,"Barcelona, Spain",Grands Express Aeriens,,,Breguet 14,F-ALJU,,1,1,0,
01/18/1923,,"Cheyenne, Wyoming",US Aerial Mail Service,,,De Havilland DH-4,223,,1,1,0,
02/26/1923,,"Meadville, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,291,,1,1,0,
05/14/1923,,"Monsures, France",Grands Express Aeriens,,,Farman F-60 Goliath,F-AEBY,,6,6,0,
08/27/1923,,"Bucharest, Romania",Campagnie France Roumaine,,,Blériot Spad 46,F-AEGN,,2,2,0,
09/07/1923,,"Colton, Ohio",US Aerial Mail Service,,,De Havilland DH-4,283,,1,1,0,
09/14/1923,,"Berks, England",Daimler Airways,,,de Havilland DH-34,G-EBBS,29,6,6,0,
11/18/1923,,Russia,CCCP,,,Junkers F-13,D-257,,4,2,0,
12/06/1923,,"Castalia, Ohio",US Aerial Mail Service,,,De Havilland DH-4,318,,1,1,0,
12/23/1923,02:30,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52,52,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
12/24/1923,,"Egbert, WY",US Aerial Mail Service,,,De Havilland DH-4,315,,1,1,0,
03/07/1924,,"Grampian, Pennsylvania",US Aerial Mail Service,,,De Havilland DH-4,327,,1,1,0,
04/24/1924,,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,3,0,
06/08/1924,,"Barranquilla, Colombia",SCADTA,,,Junkers F-13,A16,,3,3,0,
08/01/1924,,United States,US Aerial Mail Service,,,De Havilland DH-4,297,,1,1,0,
11/06/1924,,"Cabrerolles, France",Grands Express Aeriens,,,,F-AFBD,,1,1,0,
12/21/1924,,"Goshen, Indiana",US Aerial Mail Service,,,De Havilland DH-4,311,,1,1,0,
12/24/1924,,"Purley, England",Imperial Airways,,,de Havilland DH-34B,G-EBBX,36,8,8,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing."
03/22/1925,,"Near Tiflies, Georgia, USSR",Zakavia,,,Junkers F-13,R-RECA,590,5,5,0,
04/25/1925,,"Alicante, Spain",Grands Express Aeriens,,,Breguet 14,,,4,4,0,
05/25/1925,,"Alicante, Spain",Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBB,,2,2,0,
06/25/1925,,"Landrécies, France",KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,H-NABM,KLM-2,4,4,0,Crashed in poor weather.
06/26/1925,,"Alicante, Spain",Grands Express Aeriens,,,Lioré-et-Olivier H-13,F-AHBH,,2,2,0,
07/20/1925,,"Rosas, Spain",Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBI,,1,1,0,
07/24/1925,,"Budapest, Hungary",CIDNA,,,Potez IX,,,1,1,0,
09/03/1925,05:30,"Caldwell, Ohio",Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
09/07/1925,,"Toul, France",CIDNA,,,,,,3,3,0,
11/14/1925,,"Off Boulogne-sur-Mer, France",Air Union,,,Farman F-60 Goliath,F-AMFY,,2,2,0,
02/12/1926,,"Montpelier, Ohio",US Aerial Mail Service,,,Curtiss Carrier Pigeon,,,1,1,0,
03/08/1926,,"Staaken, Germany",Deutche Lufthansa,,,Junkers F-13,,,1,1,0,
05/31/1926,,English Channel,Air Union,,,Breguet 14,F-ADAI,,1,1,0,
07/03/1926,,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,,Paris - Prague,Caudron C-61,F-AFBT,5307,7,7,0,Crashed while en route.
07/09/1926,,"Wolvertem, Belgium",KLM Royal Dutch Airlines,,,Fokker F-4,H-NACC,4759,2,2,0,
07/24/1926,,"Juist, Germany",Deutsche Lufthansa,,,Junkers F-13,D-272,660,4,4,0,Weather related.
08/18/1926,,"Hurst, Kent, England",Air Union,,,Bleriot 155,F-AIEB,2,4,4,0,Crashed in adverse weather conditions.  Engine failure.
09/26/1926,,"New York, New York",,,New York - Paris,Sikorsky S-25,,,5,2,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.
10/08/1926,,"Bueren, Germany",Deutsche Lufthansa,,,Fokker FG III,D-468,1554,4,4,0,Weather related.
10/21/1926,13:15,English Channel,Imperial Airways,,,Handley Page W-10,G-EBMS,W10/3,12,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
11/11/1926,,"Cape Bojador, Morocco",Grands Express Aeriens,,,Breguet 14,,,3,3,0,
12/16/1926,,"Medford, Oregon",PacifiAir Transport,,,Ryan M-1,2,,1,1,0,
01/12/1927,,"Lille, France",KLM Royal Dutch Airlines,,,Fokker F-VII,H-NADH,,2,2,0,
03/20/1927,,"Rabat, Morocco",Grands Express Aeriens,,,Breguet 14,F-ALRA,,1,1,0,
03/24/1927,,"Tambo, Qld, Australia",Qantas,,,de Havilland DH-9C,G-AUED,86,3,3,0,Stalled at low altitiude on approach to land
04/15/1927,,"King Hill, Idaho",Varney Air Lines,,,,,,1,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
04/22/1927,,"Goshen, Indiana",US Aerial Mail Service,,,Douglas M-4,626,,1,1,0,
04/22/1927,,"Floh, Germany",Deutsche Lufthansa,,,Fokker FG III,D-729,1567,2,2,0,Engine failure.
05/02/1927,,"Algiers, Algeria",Air Union,,,SPCA Meteore 63,,,3,1,0,
07/27/1927,,"Amoneburg, Germany",Deutsche Lufthansa,,,Junkers F-13,D-206,591,5,5,0,Engine failure.
08/22/1927,08:30,"Sevenoaks, England",KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,4993,11,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
09/03/1927,,"Willington, Connecticut",Colonial Air Transport,,,Fokker Universal,,,1,1,0,
09/17/1927,,"Hadley, New Jersey",Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,4840,12,7,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
09/22/1927,,"Saale, Germany",Deutsche Lufthansa,,,BFW M-18,D-1177,30,4,2,0,Engine failure.
09/23/1927,10:00,"Schleiz, Germany",Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,,6,6,0,Broken wing strut.
10/06/1927,,"Thies, Mauritania",Lignes Aeriennes Latecoere,,,Breguet 14,F-AGBN,,2,2,0,
10/30/1927,,"New Brunswick, New Jersey",Colonial Air Transport,,,Fairchild FC-2,,,4,4,0,Went into a tailspin and crashed into a corn field
11/16/1927,,"Strasburg, France",CIDNA,,,Farman F-121 Jabiru,,,1,1,0,
11/16/1927,,Over the Gulf of Finland,Aero O-Y,,,Junkers F-13,K-SALD,798,6,6,0,
11/29/1927,,"Corunna, Indiana",National Air Transport,,,Douglas M-4,,,1,1,0,
12/26/1927,,"Almeria, Spain",Aeropostale,,,Breguet 14,,,2,2,0,
12/28/1927,,"Abuerio, Spain",Aeropostale,,,Breguet 14,F-AFGS,,1,1,0,
12/31/1927,,France,Latecoere Airlines,,,Latécoère 23,,,4,4,0,
01/08/1928,,"Near Canajoharie, New York",Colonial Western Airlines,,Minola - Albany - Buffalo,Fairchild FC-2,,39,3,3,0,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..
01/16/1928,,"Solis, Uruguay",Aeropostale,,,Latecoere 25,,,2,2,0,
01/22/1928,,"Tarragona, Spain",Aeropostale,,,Breguet 14,F-AHEQ,,2,2,0,
01/22/1928,,France,Aeropostale,,,Breguet 14,,,2,1,0,
01/27/1928,,"Almeria, Spain",Aeropostale,,,Breguet 14,F-AEEH,,1,1,0,
02/26/1928,,"Marquette, Nebraska",Boeing Air Transport,,,Boeing 40,NC280,,2,1,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
03/03/1928,,"Rio de Janeiro, Brazil",,,,,,,10,10,0,
03/11/1928,,"Off Cape Griz Nez, France",Air Union,,,Farman F-60 Goliath,F-AEFC,,2,2,0,
04/17/1928,,"Federal, Wyoming",Boeing Air Transport,,,Boeing 40,,,2,1,0,
04/19/1928,,"Minuesa, Spain",Iberia Airlines,,,Rohrbach Roland,M-CCCC,,9,9,0,Crashed in fog.
05/07/1928,,,Aeropostale,,,Latecoere 26,F-AIMQ,,1,1,0,
05/12/1928,,"Dearborn, Minnesota",Ford Air Freight Inc.,,,Ford 4,NC1492,,2,2,0,
05/26/1928,,"Radevormwald, Germany",Deutsche Lufthansa,,,Junkers F-13,D-583,742,5,3,0,Pilot error.
06/14/1928,,"Frankfurt, Germany",Deutsche Lufthansa,,,AEGK,D-74,439,5,5,0,
06/22/1928,,"Lebo, Kansas",National Air Transport,,Chicago - Dallas,Douglas M-4,,,1,1,0,The mail plane flew into tornado like winds and crashed to the ground.
07/10/1928,,Over the Gulf of Finland,Aero O-Y,,,Junkers F-13,K-SALB,760,6,6,0,
07/13/1928,,"Purley, England",Imperial Airways,,Testing,Vickers 74 Vulcan,G-EBLB,9,4,4,0,Crashed to the ground shortly after taking off killing two men and two women.
07/24/1928,,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,,,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),1,1,0,The plane crashed into the Waalhaven harbor.
08/25/1928,,"Near Port Townsend, BC, Canada",British Columbia Airways,,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7,7,0,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.
09/02/1928,,"Toul, France",CIDNA,,,Bleriot Spad 56,,,3,3,0,
09/04/1928,,"Adelaide Hills, Australia",Qantas,,,de Havilland DH.50J,G-AUHI,,2,1,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire."
09/04/1928,,"Pocatello, Idaho",National Parks Airways,,,Fokker Super Universal,NC7242,809,7,7,0,
09/06/1928,,"Heroldbach, Germany",Deutsche Lufthansa,,,Fokker FG III,D-180,1531,3,3,0,Engine failure.
10/04/1928,,"Gerona, Spain",Aeropostale,,,Breguet 14,,,3,3,0,
10/18/1928,,"Polk, Pennsylvania",National Air Transport,,,Douglas M-4,,,1,1,0,The mail plane crashed and burned during the night.
10/31/1928,,"Valence, France",Air Union,,,Bleriot Spad 56,F-AIMN,,2,1,0,
11/15/1928,,Off Gibraltar,Aeropostale,,,Latecoere 32,F-AISN,,2,1,0,
11/24/1928,,"Edgerton, Ohio",Universal Airlines,,Cleveland - Chicago,Hamilton H-47,,46,3,3,0,The mail plane crashed in a heavy snow storm.
11/25/1928,,"Bristolville, Ohio",National Air Transport,,,Douglas M-4,,,1,1,0,The mail plane crashed in a snow storm.
11/25/1928,,"Edgerton, Ohio",Continental Air Lines,,Cleveland - Louisville,Travel Air 4000,,,3,3,0,The mail plane crashed in a heavy snow storm
12/01/1928,10:00,"Spur, Texas",Sunbeam Air Transport Co.,,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5,5,0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.
12/03/1928,08:00,Brazil,Syndicato Condor,,,Dornier Wal,P-BACA,063,14,14,0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately."
12/04/1928,,"Rio de Janeiro, Brazil",,,,Junkers G24,,,6,6,0,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.
12/11/1928,,"Letzlingen, Germany",Deutsche Lufthansa,,,Junkers G-31,D-1473,3005,4,3,0,Weather related.
12/20/1928,,"Huron, Ohio",National Air Transport,,Cleveland - Chicago,Douglas M-4,,,1,1,0,The mail plane crashed into an apple tree during a snow storm.
12/23/1928,,"Chattanooga, Tennessee",Interstate Airlines,,,Fairchild FC-2,,,4,4,0,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.
12/31/1928,,"Reims, France",CIDNA,,,Blériot Spad 66,F-AEHX,40,3,2,0,Crashed into high ground in fog.
01/05/1929,,"Stafford Springs, Connecticut",Colonial Air Transport,,,Fairchild FC-2,,,1,1,0,
01/18/1929,,"Cove, Oregon",Varney Air Lines,,,Stearman C-38,,,1,1,0,While attempting to make an emergency landing on the Minam river the plane hit a bolder
01/25/1929,,"Near Corfu, Greece",Aeroespresso,,,CMASA Wal,I-AZDA,053,9,2,0,
01/31/1929,,"Morgantown, West Virginia",Skyline Transportation Company,,,Travel Air 4000,,,1,1,0,
01/31/1929,,Off Morocco,Aeropostale,,,Latecoere 26,,,2,2,0,
03/17/1929,,"Newark, New Jersey",Colonial Western Airlines,,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15,14,0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.
03/30/1929,09:18,"Near Beaumont, California",New Standard Airlines,,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4,4,0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred."
04/21/1929,,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6,6,0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent."
05/18/1929,,Hungary,MALERT,,,Fokker F-III,H-MABC,,2,2,0,
05/22/1929,,Algiers,Aeropostale,,,Cams 53,F-AISX,,5,4,0,
06/10/1929,,"Santiago de Cuba, Cuba",Pan American Airways,,Santiago de Cuba - Havana,Fokker F-X,NC9700,,5,2,0,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.
06/14/1929,,"Barcelona, Spain",Aeropostale,,,Breguet 14,F-AFEJ,,2,1,0,
06/17/1929,,"Off Dungeness, England",Imperial Airways,,,Handley Page W-10,G-EBMT,W10/4,13,7,0,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.'
06/24/1929,,"St. Paul, Minnesota",Northwest Orient Airlines,,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,5-AT-002,8,1,0,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.
06/29/1929,,"Lake Constance, Switzerland",Aero Lloyd,,,Domier Delphin III,D-1620,151,5,5,0,The aircraft crashed into lake Constance while attempting to landing.
06/29/1929,,"Columbus, Ohio",Continental Air Lines,,,Travel Air 4000,,,1,1,0,
08/11/1929,,"Clovis, New Mexico",Middle States Airlines,,,Lockheed Vega,NC870E,,4,4,0,
08/13/1929,,"Perpignan, France",Aeropostale,,,Breguet 14,,,1,1,0,
08/24/1929,,"Sochi, Russia",Ukvozduchput,,,Kalinin K-4,CCCP-217,,1,1,0,
08/24/1929,,"Elm, Germany",Deutsche Lufthansa,,,Fokker FG II,D-757,1571,5,4,0,Weather related.
09/02/1929,,"Needles, California",Associated Aviators,,,Lockheed Vega,NR859E,,2,1,0,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.
09/03/1929,c: 1:00,"Mt. Taylor, New Mexico",Trans Continental Air Transport,,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,NC9649,5-AT-002,8,8,0,Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.'
09/06/1929,,"Jask, Iran",Imperial Airways,,"London, England - India",de Havilland DH-66 Hercules,G-EBMZ,239,5,3,0,The mail plane caught fire after crash landing.
09/17/1929,,"Off Larache, Morocco",Aeropostale,,,Latecoere 25-3-R,F-AIUJ,704,5,5,0,Crashed into the Mediterranean.
09/17/1929,,"Jacumba, California",Pickwick Airways,,Tijuana - Nogales,Fairchild 71,,,2,1,0,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.
09/17/1929,,"Mt Lamentation, Connecticut",Colonial Air Transport,,,Pitcairn PA-6 Mailwing,,,1,1,0,The mail plane crashed into Mt. Lamentation and burst into flames.
10/26/1929,,"Off Spezia, Italy",Imperial Airways,,,Short Calcutta,G-AADN,5748,7,7,0,The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named 'City of Rome.'
10/29/1929,,"Mount Vernon, Ohio",Continental Air Lines,,Cleveland - Louisville,Stearman C-38,,,1,1,0,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.
