ID,Best Position,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure
199556,CM,75.0,60.0,55.0,90.0,64.0,90.0,78.0,64.0,89.0,89.0,69.0,64.0,91.0,87.0,94.0,56.0,64.0,77.0,52.0,58.0,89.0,84.0,71.0,88.0,64.0,95.0
225193,CM,73.0,73.0,75.0,81.0,58.0,82.0,75.0,69.0,76.0,81.0,71.0,73.0,76.0,81.0,75.0,82.0,82.0,80.0,78.0,73.0,77.0,83.0,74.0,80.0,58.0,80.0
226226,CAM,78.0,79.0,57.0,83.0,69.0,85.0,82.0,77.0,83.0,86.0,76.0,78.0,83.0,82.0,80.0,82.0,63.0,79.0,70.0,76.0,76.0,70.0,79.0,85.0,65.0,81.0
191740,CDM,71.0,70.0,63.0,83.0,64.0,78.0,79.0,64.0,79.0,82.0,73.0,67.0,77.0,83.0,77.0,78.0,61.0,84.0,69.0,69.0,87.0,87.0,75.0,79.0,74.0,83.0
187457,CM,74.0,65.0,72.0,78.0,66.0,77.0,76.0,81.0,80.0,80.0,73.0,73.0,77.0,75.0,66.0,75.0,79.0,90.0,71.0,79.0,68.0,78.0,72.0,78.0,80.0,72.0
208141,CM,68.0,67.0,74.0,80.0,67.0,81.0,74.0,73.0,80.0,82.0,66.0,60.0,65.0,77.0,67.0,86.0,81.0,81.0,82.0,80.0,87.0,80.0,74.0,78.0,67.0,83.0
230658,CM,73.0,70.0,58.0,88.0,63.0,87.0,76.0,60.0,84.0,89.0,69.0,67.0,79.0,85.0,90.0,78.0,68.0,76.0,68.0,76.0,75.0,77.0,75.0,86.0,69.0,90.0
146536,RB,83.0,66.0,74.0,80.0,75.0,83.0,82.0,46.0,75.0,82.0,90.0,86.0,83.0,83.0,85.0,75.0,64.0,80.0,39.0,70.0,75.0,82.0,81.0,80.0,56.0,81.0
170890,CDM,74.0,60.0,68.0,83.0,72.0,76.0,60.0,52.0,77.0,79.0,77.0,76.0,83.0,84.0,79.0,78.0,84.0,89.0,74.0,67.0,86.0,84.0,72.0,74.0,56.0,82.0
229788,CDM,73.0,66.0,74.0,80.0,67.0,71.0,84.0,85.0,83.0,75.0,63.0,64.0,62.0,79.0,67.0,85.0,78.0,84.0,78.0,81.0,88.0,81.0,62.0,77.0,66.0,75.0
209499,CDM,75.0,63.0,75.0,84.0,47.0,76.0,71.0,53.0,82.0,82.0,67.0,69.0,66.0,84.0,66.0,78.0,75.0,88.0,81.0,65.0,85.0,88.0,70.0,79.0,91.0,84.0
171875,LM,84.0,67.0,62.0,74.0,76.0,75.0,84.0,84.0,74.0,77.0,78.0,79.0,76.0,78.0,69.0,82.0,79.0,79.0,66.0,77.0,88.0,70.0,74.0,72.0,74.0,77.0
186942,CM,78.0,71.0,50.0,88.0,75.0,84.0,85.0,74.0,85.0,88.0,67.0,66.0,77.0,85.0,77.0,77.0,61.0,71.0,73.0,74.0,70.0,77.0,78.0,86.0,80.0,87.0
164082,LWB,81.0,59.0,63.0,79.0,53.0,81.0,84.0,69.0,77.0,82.0,77.0,73.0,77.0,79.0,76.0,87.0,75.0,74.0,67.0,87.0,75.0,78.0,77.0,69.0,59.0,81.0
167305,LWB,86.0,68.0,59.0,73.0,74.0,73.0,81.0,76.0,77.0,78.0,72.0,76.0,67.0,68.0,66.0,90.0,66.0,63.0,75.0,84.0,80.0,72.0,66.0,64.0,71.0,70.0
210896,CM,77.0,75.0,69.0,81.0,72.0,78.0,76.0,68.0,82.0,79.0,77.0,75.0,79.0,79.0,69.0,81.0,75.0,84.0,76.0,72.0,70.0,73.0,77.0,78.0,68.0,78.0
173474,CM,81.0,68.0,58.0,77.0,82.0,81.0,88.0,82.0,75.0,80.0,75.0,68.0,88.0,73.0,93.0,77.0,73.0,89.0,65.0,77.0,71.0,73.0,70.0,76.0,70.0,78.0
204923,CAM,74.0,80.0,56.0,79.0,82.0,80.0,75.0,78.0,74.0,82.0,76.0,79.0,75.0,84.0,80.0,88.0,71.0,84.0,76.0,87.0,73.0,57.0,83.0,82.0,65.0,76.0
183512,LB,80.0,61.0,75.0,80.0,59.0,72.0,80.0,55.0,72.0,80.0,84.0,84.0,76.0,80.0,78.0,80.0,86.0,84.0,80.0,76.0,85.0,82.0,57.0,62.0,59.0,78.0
201455,CDM,65.0,69.0,75.0,83.0,62.0,79.0,62.0,56.0,79.0,81.0,69.0,73.0,73.0,83.0,68.0,86.0,78.0,81.0,92.0,83.0,86.0,80.0,77.0,79.0,45.0,84.0
186345,RB,86.0,48.0,73.0,79.0,58.0,74.0,86.0,82.0,79.0,80.0,76.0,74.0,73.0,80.0,77.0,75.0,76.0,88.0,64.0,70.0,70.0,78.0,73.0,80.0,66.0,76.0
215998,CM,77.0,77.0,65.0,81.0,73.0,85.0,83.0,77.0,75.0,81.0,75.0,77.0,81.0,79.0,71.0,77.0,49.0,83.0,69.0,79.0,77.0,67.0,81.0,85.0,73.0,85.0
220651,LM,85.0,57.0,58.0,77.0,62.0,82.0,83.0,75.0,77.0,80.0,87.0,78.0,75.0,76.0,84.0,80.0,82.0,87.0,69.0,66.0,77.0,75.0,75.0,78.0,55.0,67.0
171877,CM,78.0,74.0,74.0,86.0,77.0,81.0,80.0,70.0,83.0,85.0,70.0,68.0,74.0,84.0,72.0,82.0,70.0,76.0,70.0,78.0,60.0,72.0,82.0,86.0,70.0,84.0
13743,CM,86.0,76.0,75.0,83.0,80.0,74.0,84.0,82.0,86.0,82.0,55.0,54.0,59.0,85.0,60.0,90.0,71.0,68.0,75.0,82.0,85.0,69.0,78.0,78.0,85.0,84.0
212523,CAM,75.0,80.0,77.0,84.0,76.0,82.0,86.0,87.0,82.0,84.0,83.0,76.0,82.0,78.0,70.0,84.0,62.0,81.0,72.0,87.0,67.0,52.0,86.0,79.0,75.0,77.0
186832,CDM,78.0,55.0,68.0,80.0,76.0,82.0,72.0,68.0,79.0,81.0,75.0,73.0,85.0,78.0,83.0,84.0,77.0,72.0,72.0,76.0,82.0,79.0,77.0,76.0,64.0,76.0
216189,RB,81.0,56.0,60.0,80.0,54.0,77.0,80.0,58.0,67.0,77.0,79.0,85.0,78.0,76.0,85.0,83.0,79.0,92.0,83.0,67.0,86.0,77.0,78.0,78.0,54.0,78.0
197083,RM,81.0,72.0,65.0,76.0,68.0,80.0,83.0,83.0,69.0,78.0,72.0,69.0,75.0,77.0,67.0,76.0,77.0,82.0,73.0,77.0,74.0,75.0,74.0,76.0,82.0,75.0
198164,CAM,75.0,78.0,41.0,83.0,65.0,82.0,80.0,76.0,78.0,80.0,85.0,76.0,90.0,81.0,93.0,70.0,91.0,80.0,67.0,79.0,56.0,73.0,72.0,82.0,74.0,80.0
231969,CM,79.0,70.0,75.0,82.0,70.0,80.0,85.0,87.0,81.0,80.0,69.0,72.0,63.0,74.0,65.0,90.0,72.0,81.0,81.0,84.0,78.0,66.0,70.0,79.0,83.0,75.0
221363,CAM,67.0,78.0,67.0,83.0,78.0,78.0,77.0,62.0,76.0,85.0,67.0,74.0,72.0,83.0,68.0,82.0,70.0,92.0,76.0,79.0,74.0,73.0,86.0,82.0,55.0,85.0
156519,CM,65.0,72.0,61.0,81.0,59.0,76.0,67.0,63.0,77.0,78.0,72.0,73.0,72.0,82.0,68.0,81.0,76.0,93.0,78.0,78.0,84.0,82.0,82.0,78.0,67.0,75.0
189513,CM,87.0,82.0,61.0,91.0,72.0,81.0,89.0,91.0,88.0,86.0,49.0,35.0,64.0,80.0,75.0,81.0,49.0,81.0,71.0,85.0,58.0,80.0,82.0,86.0,88.0,85.0
224293,CM,78.0,66.0,53.0,85.0,82.0,76.0,85.0,84.0,86.0,82.0,64.0,60.0,65.0,78.0,70.0,86.0,68.0,78.0,67.0,84.0,82.0,75.0,65.0,85.0,76.0,83.0
202371,RB,81.0,70.0,75.0,82.0,79.0,75.0,74.0,56.0,74.0,81.0,74.0,81.0,63.0,80.0,49.0,77.0,72.0,92.0,85.0,78.0,73.0,76.0,80.0,71.0,65.0,77.0
168651,CM,84.0,75.0,59.0,85.0,81.0,76.0,88.0,82.0,87.0,85.0,64.0,61.0,69.0,80.0,62.0,84.0,34.0,77.0,71.0,84.0,67.0,78.0,76.0,84.0,82.0,80.0
121939,RWB,84.0,47.0,63.0,86.0,66.0,82.0,77.0,59.0,77.0,86.0,68.0,67.0,82.0,91.0,93.0,57.0,72.0,79.0,59.0,65.0,58.0,93.0,69.0,82.0,69.0,94.0
239053,CM,66.0,69.0,59.0,82.0,70.0,77.0,70.0,66.0,83.0,80.0,78.0,85.0,74.0,82.0,67.0,80.0,59.0,86.0,79.0,80.0,80.0,80.0,76.0,80.0,59.0,80.0
216393,CM,83.0,73.0,64.0,84.0,78.0,79.0,85.0,78.0,82.0,83.0,67.0,61.0,69.0,77.0,77.0,86.0,63.0,76.0,66.0,84.0,70.0,69.0,79.0,83.0,72.0,83.0
183277,LW,81.0,84.0,61.0,89.0,83.0,95.0,83.0,79.0,83.0,94.0,94.0,88.0,95.0,90.0,94.0,82.0,56.0,84.0,63.0,80.0,54.0,41.0,87.0,89.0,88.0,91.0
231677,RM,75.0,83.0,72.0,77.0,76.0,86.0,82.0,76.0,67.0,84.0,89.0,94.0,86.0,85.0,75.0,90.0,72.0,87.0,76.0,81.0,73.0,42.0,84.0,79.0,80.0,80.0
179813,ST,68.0,87.0,89.0,75.0,88.0,75.0,75.0,76.0,52.0,79.0,74.0,76.0,74.0,88.0,59.0,88.0,88.0,90.0,79.0,77.0,84.0,54.0,92.0,75.0,85.0,80.0
211110,CAM,82.0,84.0,64.0,87.0,88.0,90.0,88.0,88.0,75.0,93.0,88.0,82.0,91.0,84.0,85.0,80.0,75.0,79.0,61.0,86.0,48.0,42.0,85.0,87.0,86.0,84.0
193082,RM,78.0,64.0,58.0,81.0,70.0,90.0,78.0,69.0,69.0,85.0,88.0,90.0,91.0,78.0,81.0,84.0,74.0,74.0,58.0,80.0,78.0,62.0,78.0,76.0,65.0,80.0
227813,CM,82.0,59.0,70.0,83.0,61.0,79.0,80.0,74.0,78.0,82.0,75.0,72.0,78.0,78.0,78.0,77.0,72.0,76.0,62.0,71.0,73.0,77.0,75.0,79.0,59.0,76.0
