Club Logo,Preferred Foot,Flag,Work Rate,Weak Foot,Club,Contract Valid Until,Overall,International Reputation,Height,Photo,Potential,Nationality,Name,ID,Value,Body Type,Wage,Skill Moves,Real Face,Position,Weight,Special,Age
https://cdn.sofifa.net/teams/45/30.png,Right,https://cdn.sofifa.net/flags/co.png,High/ Medium,3.0,Juventus,,83.0,3.0,179cm,https://cdn.sofifa.net/players/193/082/23_60.png,83.0,Colombia,J. Cuadrado,193082.0,€13.5M,Lean (170-185),€120K,5.0,Yes,"<span class=""pos pos3"">RB",72kg,2234.0,34.0
https://cdn.sofifa.net/teams/1824/30.png,Left,https://cdn.sofifa.net/flags/rs.png,High/ High,2.0,,2023,85.0,3.0,184cm,https://cdn.sofifa.net/players/208/574/23_60.png,85.0,Serbia,F. Kostić,208574.0,€53M,Normal (170-185),€56K,3.0,,"<span class=""pos pos16"">LM",84kg,2234.0,29.0
https://cdn.sofifa.net/teams/9/30.png,Right,https://cdn.sofifa.net/flags/gb-eng.png,High/ Medium,4.0,Liverpool,2025,87.0,3.0,180cm,https://cdn.sofifa.net/players/231/281/23_60.png,90.0,England,T. Alexander-Arnold,231281.0,€100.5M,Unique,€150K,3.0,Yes,"<span class=""pos pos3"">RB",69kg,2234.0,23.0
https://cdn.sofifa.net/teams/111325/30.png,Right,https://cdn.sofifa.net/flags/uy.png,,,Club Nacional de Football,2022,84.0,4.0,182cm,https://cdn.sofifa.net/players/176/580/23_60.png,84.0,Uruguay,L. Suárez,176580.0,€18M,Unique,€1K,3.0,Yes,"<span class=""pos pos26"">LS",86kg,2231.0,35.0
https://cdn.sofifa.net/teams/73/30.png,Right,https://cdn.sofifa.net/flags/ma.png,High/ Medium,4.0,Paris Saint-Germain,2026,84.0,2.0,181cm,https://cdn.sofifa.net/players/235/212/23_60.png,87.0,Morocco,A. Hakimi,235212.0,€53.5M,Lean (170-185),€90K,4.0,Yes,"<span class=""pos pos2"">RWB",73kg,2229.0,23.0
https://cdn.sofifa.net/teams/44/30.png,Right,https://cdn.sofifa.net/flags/hr.png,Medium/ Medium,4.0,Inter,2026,86.0,3.0,181cm,https://cdn.sofifa.net/players/216/352/23_60.png,86.0,Croatia,M. Brozović,216352.0,€58M,Lean (170-185),€110K,3.0,Yes,"<span class=""pos pos10"">CDM",68kg,2227.0,29.0
https://cdn.sofifa.net/teams/9/30.png,Left,https://cdn.sofifa.net/flags/eg.png,High/ Medium,3.0,Liverpool,2023,90.0,4.0,175cm,https://cdn.sofifa.net/players/209/331/23_60.png,90.0,Egypt,M. Salah,209331.0,€115.5M,Unique,€270K,4.0,Yes,"<span class=""pos pos23"">RW",71kg,2226.0,30.0
https://cdn.sofifa.net/teams/47/30.png,Right,https://cdn.sofifa.net/flags/it.png,Medium/ High,4.0,AC Milan,2026,84.0,1.0,181cm,https://cdn.sofifa.net/players/241/096/23_60.png,90.0,Italy,S. Tonali,241096.0,€62.5M,Unique,€75K,3.0,Yes,"<span class=""pos pos13"">RCM",79kg,2225.0,22.0
https://cdn.sofifa.net/teams/9/30.png,Right,https://cdn.sofifa.net/flags/es.png,Medium/ Medium,3.0,Liverpool,2024,86.0,3.0,174cm,https://cdn.sofifa.net/players/189/509/23_60.png,86.0,Spain,Thiago,189509.0,€55.5M,Normal (170-185),€180K,5.0,Yes,"<span class=""pos pos15"">LCM",70kg,2225.0,31.0
https://cdn.sofifa.net/teams/5/30.png,Right,https://cdn.sofifa.net/flags/gb-eng.png,High/ Medium,3.0,Chelsea,2025,84.0,2.0,178cm,https://cdn.sofifa.net/players/238/074/23_60.png,88.0,England,R. James,238074.0,€57M,Stocky (170-185),€120K,3.0,Yes,"<span class=""pos pos2"">RWB",87kg,2225.0,22.0
https://cdn.sofifa.net/teams/241/30.png,Left,https://cdn.sofifa.net/flags/es.png,High/ Medium,3.0,FC Barcelona,2024,85.0,3.0,170cm,https://cdn.sofifa.net/players/189/332/23_60.png,,Spain,Jordi Alba,189332.0,€28M,Unique,€190K,3.0,Yes,"<span class=""pos pos7"">LB",68kg,2218.0,33.0
https://cdn.sofifa.net/teams/240/30.png,Left,https://cdn.sofifa.net/flags/fr.png,High/ High,3.0,Atlético de Madrid,2023,83.0,3.0,171cm,https://cdn.sofifa.net/players/213/565/23_60.png,86.0,France,T. Lemar,213565.0,€47M,Lean (170-185),€74K,4.0,Yes,"<span class=""pos pos28"">SUB",63kg,2215.0,26.0
https://cdn.sofifa.net/teams/73/30.png,Right,https://cdn.sofifa.net/flags/pt.png,High/ High,4.0,Paris Saint-Germain,2027,80.0,3.0,176cm,https://cdn.sofifa.net/players/230/767/23_60.png,86.0,Portugal,Renato Sanches,230767.0,€33M,Normal (170-185),€72K,4.0,Yes,"<span class=""pos pos28"">SUB",70kg,,24.0
https://cdn.sofifa.net/teams/449/30.png,Left,https://cdn.sofifa.net/flags/es.png,High/ Medium,3.0,Real Betis Balompié,2026,84.0,2.0,176cm,https://cdn.sofifa.net/players/190/286/23_60.png,84.0,Spain,Canales,190286.0,€35M,Lean (170-185),€42K,4.0,Yes,"<span class=""pos pos12"">RM",65kg,2213.0,31.0
https://cdn.sofifa.net/teams/47/30.png,Left,https://cdn.sofifa.net/flags/dz.png,High/ Medium,3.0,,2024,82.0,2.0,175cm,https://cdn.sofifa.net/players/226/754/23_60.png,86.0,Algeria,I. Bennacer,226754.0,€40M,Lean (170-185),€63K,4.0,No,"<span class=""pos pos15"">LCM",70kg,2213.0,24.0
https://cdn.sofifa.net/teams/481/30.png,Left,https://cdn.sofifa.net/flags/br.png,High/ Low,2.0,Sevilla FC,"Jun 30, 2023",80.0,3.0,181cm,https://cdn.sofifa.net/players/212/462/23_60.png,80.0,Brazil,Alex Telles,212462.0,€18.5M,Unique,€110K,3.0,Yes,"<span class=""pos pos28"">SUB",71kg,2213.0,29.0
https://cdn.sofifa.net/teams/45/30.png,Right,https://cdn.sofifa.net/flags/us.png,High/ High,3.0,Juventus,2025,80.0,2.0,183cm,https://cdn.sofifa.net/players/238/744/23_60.png,85.0,United States,W. McKennie,238744.0,€31.5M,Normal (170-185),€90K,3.0,Yes,"<span class=""pos pos15"">LCM",84kg,2212.0,23.0
https://cdn.sofifa.net/teams/243/30.png,Right,https://cdn.sofifa.net/flags/br.png,Medium/ High,3.0,Real Madrid CF,2025,89.0,3.0,185cm,https://cdn.sofifa.net/players/200/145/23_60.png,89.0,Brazil,Casemiro,200145.0,€86M,Unique,€300K,2.0,Yes,"<span class=""pos pos10"">CDM",84kg,2209.0,30.0
https://cdn.sofifa.net/teams/10029/30.png,Left,https://cdn.sofifa.net/flags/es.png,High/ High,3.0,TSG Hoffenheim,"Jun 30, 2023",83.0,2.0,171cm,,85.0,Spain,Angeliño,220651.0,€42M,Normal (170-185),€64K,4.0,No,,69kg,2209.0,25.0
https://cdn.sofifa.net/teams/241/30.png,Right,https://cdn.sofifa.net/flags/ci.png,High/ High,4.0,FC Barcelona,2026,84.0,3.0,183cm,https://cdn.sofifa.net/players/230/938/23_60.png,86.0,Côte d'Ivoire,F. Kessié,230938.0,€47.5M,Normal (170-185),€165K,3.0,Yes,"<span class=""pos pos28"">SUB",88kg,2206.0,25.0
https://cdn.sofifa.net/teams/2/30.png,Left,https://cdn.sofifa.net/flags/fr.png,High/ Medium,2.0,Aston Villa,2026,82.0,2.0,178cm,https://cdn.sofifa.net/players/200/458/23_60.png,82.0,France,L. Digne,200458.0,€27.5M,Unique,€100K,3.0,Yes,"<span class=""pos pos7"">LB",74kg,2206.0,28.0
https://cdn.sofifa.net/teams/241/30.png,Right,https://cdn.sofifa.net/flags/pl.png,High/ Medium,4.0,FC Barcelona,2025,91.0,5.0,185cm,https://cdn.sofifa.net/players/188/545/23_60.png,91.0,Poland,R. Lewandowski,188545.0,€84M,Unique,€420K,4.0,Yes,"<span class=""pos pos25"">ST",81kg,2205.0,33.0
https://cdn.sofifa.net/teams/44/30.png,Right,https://cdn.sofifa.net/flags/cl.png,High/ High,4.0,Inter,2023,81.0,4.0,180cm,https://cdn.sofifa.net/players/181/872/22_60.png,81.0,Chile,22 A. Vidal,181872.0,€12M,Unique,€105K,3.0,Yes,"<span class=""pos pos28"">SUB",75kg,2199.0,34.0
https://cdn.sofifa.net/teams/1876/30.png,Right,https://cdn.sofifa.net/flags/uy.png,High/ High,4.0,River Plate,2022,78.0,1.0,167cm,https://cdn.sofifa.net/players/240/699/23_60.png,79.0,Uruguay,N. De la Cruz,240699.0,€16.5M,Normal (170-),€19K,4.0,No,,65kg,2197.0,25.0
https://cdn.sofifa.net/teams/10/30.png,Right,https://cdn.sofifa.net/flags/gb-eng.png,High/ High,2.0,Manchester City,2024,85.0,3.0,183cm,https://cdn.sofifa.net/players/188/377/23_60.png,85.0,England,K. Walker,188377.0,€37.5M,Unique,€170K,3.0,Yes,"<span class=""pos pos3"">RB",83kg,2196.0,32.0
https://cdn.sofifa.net/teams/47/30.png,Left,https://cdn.sofifa.net/flags/fr.png,High/ Medium,3.0,AC Milan,2026,85.0,3.0,184cm,https://cdn.sofifa.net/players/232/656/23_60.png,90.0,France,T. Hernández,232656.0,€76M,Unique,€82K,3.0,Yes,"<span class=""pos pos7"">LB",81kg,2195.0,24.0
https://cdn.sofifa.net/teams/10/30.png,Right,https://cdn.sofifa.net/flags/de.png,High/ Medium,4.0,Manchester City,2023,85.0,3.0,180cm,https://cdn.sofifa.net/players/186/942/23_60.png,85.0,Germany,İ. Gündoğan,186942.0,€44M,Normal (170-185),€185K,4.0,Yes,"<span class=""pos pos28"">SUB",80kg,2195.0,31.0
https://cdn.sofifa.net/teams/74/30.png,Right,https://cdn.sofifa.net/flags/fr.png,High/ High,3.0,Stade Rennais FC,2023,81.0,2.0,178cm,https://cdn.sofifa.net/players/214/097/23_60.png,81.0,France,B. Bourigeaud,214097.0,€26M,Lean (170-185),€66K,3.0,No,"<span class=""pos pos23"">RW",68kg,2194.0,28.0
https://cdn.sofifa.net/teams/44/30.png,Left,https://cdn.sofifa.net/flags/de.png,High/ Medium,3.0,Inter,"Jun 30, 2023",82.0,3.0,183cm,https://cdn.sofifa.net/players/223/697/23_60.png,82.0,Germany,R. Gosens,223697.0,€29.5M,Normal (170-185),€59K,3.0,Yes,"<span class=""pos pos16"">LM",76kg,,27.0
https://cdn.sofifa.net/teams/52/30.png,Right,https://cdn.sofifa.net/flags/nl.png,High/ High,4.0,Roma,"Jun 30, 2023",80.0,3.0,175cm,https://cdn.sofifa.net/players/181/291/23_60.png,80.0,Netherlands,G. Wijnaldum,181291.0,€17.5M,Unique,€83K,3.0,Yes,"<span class=""pos pos15"">LCM",74kg,2193.0,31.0
https://cdn.sofifa.net/teams/66/30.png,Right,https://cdn.sofifa.net/flags/fr.png,High/ Medium,3.0,Olympique Lyonnais,2027,81.0,3.0,181cm,https://cdn.sofifa.net/players/219/683/23_60.png,81.0,France,C. Tolisso,219683.0,€27.5M,Normal (170-185),€75K,3.0,Yes,"<span class=""pos pos13"">RCM",81kg,2193.0,27.0
https://cdn.sofifa.net/teams/18/30.png,Right,https://cdn.sofifa.net/flags/gb-eng.png,High/ High,5.0,Tottenham Hotspur,2024,89.0,4.0,188cm,https://cdn.sofifa.net/players/202/126/23_60.png,89.0,England,H. Kane,202126.0,€105.5M,Unique,€240K,3.0,Yes,"<span class=""pos pos25"">ST",89kg,2193.0,28.0
https://cdn.sofifa.net/teams/240/30.png,Right,https://cdn.sofifa.net/flags/es.png,Medium/ Medium,4.0,,2024,83.0,3.0,176cm,https://cdn.sofifa.net/players/193/747/23_60.png,83.0,Spain,Koke,193747.0,€34.5M,Normal (170-185),€74K,3.0,Yes,"<span class=""pos pos15"">LCM",77kg,2192.0,30.0
https://cdn.sofifa.net/teams/86/30.png,Right,https://cdn.sofifa.net/flags/gb-eng.png,High/ Medium,3.0,Rangers FC,2024,78.0,1.0,182cm,https://cdn.sofifa.net/players/195/479/23_60.png,78.0,England,J. Tavernier,195479.0,€12M,Lean (185+),€51K,3.0,Yes,"<span class=""pos pos3"">RB",75kg,2191.0,30.0
,Right,https://cdn.sofifa.net/flags/gb-eng.png,High/ High,3.0,Liverpool,2025,83.0,3.0,182cm,https://cdn.sofifa.net/players/183/711/23_60.png,83.0,England,J. Henderson,183711.0,€28.5M,Normal (170-185),€135K,3.0,Yes,"<span class=""pos pos13"">RCM",,2190.0,32.0
https://cdn.sofifa.net/teams/73/30.png,Left,https://cdn.sofifa.net/flags/ar.png,Low/ Low,4.0,Paris Saint-Germain,2023,91.0,5.0,169cm,https://cdn.sofifa.net/players/158/023/23_60.png,91.0,Argentina,L. Messi,158023.0,€54M,Unique,€195K,4.0,Yes,"<span class=""pos pos23"">RW",67kg,2190.0,35.0
https://cdn.sofifa.net/teams/73/30.png,Right,https://cdn.sofifa.net/flags/it.png,Medium/ High,4.0,Paris Saint-Germain,2024,87.0,3.0,165cm,https://cdn.sofifa.net/players/199/556/23_60.png,87.0,Italy,M. Verratti,199556.0,€77.5M,Unique,€155K,4.0,Yes,"<span class=""pos pos13"">RCM",60kg,2189.0,29.0
https://cdn.sofifa.net/teams/236/30.png,Right,https://cdn.sofifa.net/flags/co.png,Medium/ High,4.0,FC Porto,2023,81.0,1.0,183cm,https://cdn.sofifa.net/players/214/047/23_60.png,81.0,Colombia,M. Uribe,214047.0,€21M,Normal (170-185),€19K,3.0,Yes,"<span class=""pos pos13"">RCM",77kg,2189.0,31.0
https://cdn.sofifa.net/teams/243/30.png,Right,https://cdn.sofifa.net/flags/uy.png,High/ High,4.0,Real Madrid CF,2027,84.0,1.0,182cm,https://cdn.sofifa.net/players/239/053/23_60.png,90.0,Uruguay,F. Valverde,239053.0,€66M,Unique,€175K,3.0,Yes,"<span class=""pos pos28"">SUB",78kg,2188.0,23.0
https://cdn.sofifa.net/teams/21/30.png,Right,https://cdn.sofifa.net/flags/sn.png,High/ Medium,4.0,FC Bayern München,2025,89.0,4.0,174cm,,89.0,Senegal,S. Mané,208722.0,€99.5M,Unique,€145K,4.0,Yes,"<span class=""pos pos25"">ST",69kg,2188.0,30.0
https://cdn.sofifa.net/teams/481/30.png,Right,https://cdn.sofifa.net/flags/ar.png,High/ High,,Sevilla FC,2024,81.0,2.0,188cm,https://cdn.sofifa.net/players/205/632/23_60.png,81.0,Argentina,L. Ocampos,205632.0,€27.5M,Normal (185+),€39K,4.0,No,"<span class=""pos pos28"">SUB",84kg,2188.0,27.0
https://cdn.sofifa.net/teams/66/30.png,Left,https://cdn.sofifa.net/flags/br.png,High/ High,4.0,Olympique Lyonnais,2025,82.0,2.0,180cm,https://cdn.sofifa.net/players/233/927/23_60.png,87.0,Brazil,Lucas Paquetá,233927.0,€46M,Normal (170-185),€70K,5.0,Yes,"<span class=""pos pos15"">LCM",72kg,2188.0,24.0
https://cdn.sofifa.net/teams/452/30.png,,https://cdn.sofifa.net/flags/es.png,Medium/ Medium,3.0,RCD Espanyol de Barcelona,2023,82.0,1.0,,https://cdn.sofifa.net/players/202/648/23_60.png,82.0,Spain,Sergi Darder,202648.0,€30.5M,Lean (170-185),€30K,3.0,Yes,"<span class=""pos pos18"">CAM",71kg,2188.0,28.0
https://cdn.sofifa.net/teams/95/30.png,Right,https://cdn.sofifa.net/flags/be.png,Medium/ Medium,5.0,Leicester City,2023,84.0,2.0,176cm,https://cdn.sofifa.net/players/216/393/23_60.png,,Belgium,Y. Tielemans,216393.0,€52.5M,Normal (170-185),€115K,4.0,Yes,"<span class=""pos pos9"">RDM",,2187.0,25.0
https://cdn.sofifa.net/teams/11/30.png,Left,https://cdn.sofifa.net/flags/br.png,High/ High,3.0,Manchester United,2023,80.0,3.0,169cm,https://cdn.sofifa.net/players/209/297/23_60.png,80.0,Brazil,Fred,209297.0,€20.5M,Lean (170-),€120K,4.0,Yes,"<span class=""pos pos10"">CDM",62kg,2186.0,29.0
,Left,https://cdn.sofifa.net/flags/pt.png,High/ High,3.0,Manchester City,2025,88.0,2.0,173cm,https://cdn.sofifa.net/players/218/667/23_60.png,88.0,Portugal,Bernardo Silva,218667.0,€97.5M,Lean (170-185),€260K,4.0,Yes,"<span class=""pos pos15"">LCM",64kg,2185.0,27.0
https://cdn.sofifa.net/teams/234/30.png,Left,https://cdn.sofifa.net/flags/es.png,High/ Medium,2.0,SL Benfica,2023,82.0,3.0,172cm,https://cdn.sofifa.net/players/210/035/23_60.png,85.0,Spain,Grimaldo,210035.0,€36.5M,Lean (170-185),€19K,3.0,Yes,"<span class=""pos pos7"">LB",67kg,2184.0,26.0
https://cdn.sofifa.net/teams/461/30.png,Right,https://cdn.sofifa.net/flags/es.png,Medium/ Medium,4.0,Valencia CF,2023,83.0,2.0,180cm,https://cdn.sofifa.net/players/234/153/23_60.png,88.0,Spain,Carlos Soler,234153.0,€53M,Normal (170-185),€51K,3.0,Yes,"<span class=""pos pos15"">LCM",76kg,2183.0,25.0
https://cdn.sofifa.net/teams/9/30.png,Right,https://cdn.sofifa.net/flags/pt.png,High/ High,5.0,Liverpool,2025,85.0,2.0,178cm,https://cdn.sofifa.net/players/224/458/23_60.png,89.0,Portugal,Diogo Jota,224458.0,€76M,Normal (170-185),€170K,4.0,Yes,"<span class=""pos pos28"">SUB",73kg,2183.0,25.0
https://cdn.sofifa.net/teams/22/30.png,Right,https://cdn.sofifa.net/flags/gb-eng.png,High/ High,4.0,Borussia Dortmund,2025,84.0,2.0,186cm,https://cdn.sofifa.net/players/252/371/23_60.png,91.0,England,J. Bellingham,252371.0,€81.5M,Lean (185+),€41K,4.0,Yes,"<span class=""pos pos11"">LDM",75kg,2182.0,19.0
https://cdn.sofifa.net/teams/240/30.png,Left,https://cdn.sofifa.net/flags/cf.png,Medium/ High,3.0,Atlético de Madrid,2024,82.0,2.0,188cm,https://cdn.sofifa.net/players/201/455/23_60.png,82.0,Central African Republic,G. Kondogbia,201455.0,€29.5M,Lean (185+),€71K,3.0,Yes,"<span class=""pos pos10"">CDM",80kg,2181.0,29.0
https://cdn.sofifa.net/teams/13/30.png,Right,https://cdn.sofifa.net/flags/gb-eng.png,Medium/ Medium,4.0,Newcastle United,2024,84.0,2.0,173cm,https://cdn.sofifa.net/players/186/345/23_60.png,84.0,England,K. Trippier,186345.0,€30.5M,Normal (170-185),€120K,3.0,Yes,"<span class=""pos pos3"">RB",71kg,2181.0,31.0
https://cdn.sofifa.net/teams/45/30.png,Right,https://cdn.sofifa.net/flags/it.png,High/ High,4.0,Juventus,2020,84.0,3.0,180cm,https://cdn.sofifa.net/players/173/210/19_60.png,84.0,Italy,19 C. Marchisio,173210.0,€19.5M,Normal (170-185),€130K,3.0,,"<span class=""pos pos29"">RES",74kg,2179.0,31.0
https://cdn.sofifa.net/teams/481/30.png,Left,https://cdn.sofifa.net/flags/dk.png,Low/ High,4.0,Sevilla FC,2025,81.0,2.0,182cm,https://cdn.sofifa.net/players/193/283/23_60.png,81.0,Denmark,T. Delaney,193283.0,€21.5M,Normal (170-185),€33K,2.0,Yes,"<span class=""pos pos28"">SUB",79kg,2177.0,30.0
https://cdn.sofifa.net/teams/73/30.png,Right,https://cdn.sofifa.net/flags/fr.png,High/ Low,4.0,Paris Saint-Germain,2025,91.0,4.0,182cm,https://cdn.sofifa.net/players/231/747/23_60.png,95.0,France,K. Mbappé,231747.0,€190.5M,Unique,€230K,5.0,Yes,"<span class=""pos pos25"">ST",73kg,2177.0,23.0
https://cdn.sofifa.net/teams/448/30.png,Left,https://cdn.sofifa.net/flags/es.png,High/ Medium,3.0,Athletic Club de Bilbao,2024,82.0,2.0,181cm,https://cdn.sofifa.net/players/183/512/23_60.png,82.0,Spain,Yuri Berchiche,183512.0,€21M,Normal (170-185),€35K,3.0,Yes,,80kg,,32.0
https://cdn.sofifa.net/teams/1861/30.png,Right,https://cdn.sofifa.net/flags/ar.png,Medium/ High,4.0,Unión Deportiva Almería,2025,76.0,1.0,,https://cdn.sofifa.net/players/235/008/23_60.png,80.0,Argentina,L. Robertone,235008.0,€10.5M,Normal (170-185),€24K,4.0,No,"<span class=""pos pos15"">LCM",70kg,2173.0,25.0
https://cdn.sofifa.net/teams/21/30.png,Right,https://cdn.sofifa.net/flags/at.png,High/ High,4.0,FC Bayern München,2025,80.0,3.0,178cm,https://cdn.sofifa.net/players/204/923/23_60.png,80.0,Austria,M. Sabitzer,204923.0,€21M,Normal (170-185),€67K,3.0,Yes,"<span class=""pos pos28"">SUB",76kg,2172.0,28.0
https://cdn.sofifa.net/teams/44/30.png,,https://cdn.sofifa.net/flags/tr.png,High/ High,4.0,Inter,2024,,3.0,178cm,https://cdn.sofifa.net/players/208/128/23_60.png,84.0,Turkey,H. Çalhanoğlu,208128.0,€42M,Normal (170-185),€100K,4.0,Yes,"<span class=""pos pos15"">LCM",76kg,2172.0,28.0
,Right,https://cdn.sofifa.net/flags/pt.png,Low/ High,4.0,Wolverhampton Wanderers,2024,83.0,2.0,180cm,https://cdn.sofifa.net/players/224/293/23_60.png,86.0,Portugal,Rúben Neves,224293.0,€47.5M,Normal (170-185),€105K,3.0,Yes,"<span class=""pos pos13"">RCM",80kg,2171.0,25.0
