ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
208333, E. Can,26,https://cdn.sofifa.com/players/208/333/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,82,84,Borussia Dortmund,https://cdn.sofifa.com/teams/22/light_30.png,€26.5M,€72K,2262,Right,2.0,4.0,3.0,Medium/ High,Stocky (185+),Yes,"<span class=""pos pos4"">RCB",23.0,"Feb 18, 2020",nan,2024,6'1,190lbs,71.0,76.0,81.0,84.0,71.0,82.0,77.0,64.0,83.0,79.0,66.0,81.0,73.0,81.0,75.0,85.0,87.0,88.0,86.0,81.0,88.0,84.0,78.0,79.0,60.0,83.0,nan,86.0,80.0,14.0,8.0,8.0,13.0,11.0,CB,86.0,€47M,82.0
155862, Sergio Ramos,34,https://cdn.sofifa.com/players/155/862/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€24.5M,€300K,2258,Right,4.0,3.0,3.0,High/ Medium,PLAYER_BODY_TYPE_352,Yes,"<span class=""pos pos6"">LCB",4.0,"Aug 1, 2005",nan,2021,6'0,181lbs,66.0,65.0,92.0,82.0,69.0,65.0,74.0,76.0,83.0,83.0,72.0,70.0,78.0,92.0,66.0,79.0,93.0,81.0,85.0,64.0,90.0,88.0,73.0,71.0,92.0,88.0,nan,88.0,90.0,11.0,8.0,9.0,7.0,11.0,CB,89.0,€50.2M,85.0
209658, L. Goretzka,25,https://cdn.sofifa.com/players/209/658/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,84,88,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€39.5M,€105K,2255,Right,3.0,4.0,3.0,High/ Medium,PLAYER_BODY_TYPE_275,Yes,"<span class=""pos pos11"">LDM",18.0,"Jul 1, 2018",nan,2022,6'2,168lbs,75.0,79.0,82.0,84.0,69.0,82.0,76.0,75.0,79.0,85.0,81.0,76.0,76.0,87.0,70.0,79.0,78.0,83.0,88.0,82.0,81.0,79.0,83.0,82.0,60.0,82.0,nan,79.0,75.0,13.0,8.0,15.0,11.0,9.0,CM,86.0,€68.1M,74.0
177003, L. Modrić,34,https://cdn.sofifa.com/players/177/003/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,87,87,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€24.5M,€260K,2252,Right,4.0,4.0,4.0,High/ Medium,Lean (170-185),Yes,"<span class=""pos pos13"">RCM",10.0,"Aug 1, 2012",nan,2021,5'8,146lbs,86.0,72.0,55.0,91.0,76.0,85.0,85.0,78.0,89.0,90.0,76.0,70.0,91.0,88.0,92.0,79.0,68.0,84.0,58.0,82.0,62.0,79.0,78.0,90.0,82.0,92.0,nan,75.0,71.0,13.0,9.0,7.0,14.0,9.0,CM,87.0,€50.2M,68.0
197445, D. Alaba,28,https://cdn.sofifa.com/players/197/445/20_60.png,Austria,https://cdn.sofifa.com/flags/at.png,84,84,FC Bayern München,https://cdn.sofifa.com/teams/21/light_30.png,€27.5M,€105K,2247,Left,4.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos6"">LCB",27.0,"Feb 10, 2010",nan,2021,5'11,172lbs,80.0,60.0,76.0,85.0,67.0,77.0,77.0,85.0,79.0,83.0,78.0,77.0,76.0,88.0,77.0,82.0,83.0,75.0,76.0,78.0,74.0,84.0,73.0,78.0,79.0,84.0,nan,83.0,82.0,5.0,7.0,14.0,15.0,9.0,CB,84.0,€45.4M,85.0
181872, A. Vidal,33,https://cdn.sofifa.com/players/181/872/20_60.png,Chile,https://cdn.sofifa.com/flags/cl.png,83,83,Inter,https://cdn.sofifa.com/teams/44/light_30.png,€15M,€125K,2241,Right,4.0,4.0,3.0,High/ High,PLAYER_BODY_TYPE_267,Yes,"<span class=""pos pos18"">CAM",22.0,"Sep 22, 2020",nan,2022,5'11,165lbs,76.0,75.0,81.0,81.0,78.0,76.0,76.0,68.0,80.0,82.0,66.0,65.0,73.0,85.0,77.0,84.0,82.0,86.0,83.0,81.0,93.0,84.0,82.0,81.0,81.0,80.0,nan,86.0,83.0,4.0,2.0,4.0,2.0,4.0,CM,83.0,€24.8M,80.0
185103, A. Kolarov,34,https://cdn.sofifa.com/players/185/103/20_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,82,82,Inter,https://cdn.sofifa.com/teams/44/light_30.png,€8M,€105K,2239,Left,2.0,3.0,3.0,High/ Medium,Normal (185+),Yes,"<span class=""pos pos28"">SUB",11.0,"Sep 8, 2020",nan,2021,6'2,179lbs,90.0,60.0,80.0,78.0,64.0,80.0,85.0,88.0,77.0,77.0,69.0,67.0,61.0,83.0,58.0,95.0,79.0,79.0,73.0,86.0,86.0,82.0,78.0,77.0,80.0,90.0,nan,83.0,81.0,16.0,15.0,8.0,16.0,6.0,LB,82.0,€13.2M,82.0
195864, P. Pogba,27,https://cdn.sofifa.com/players/195/864/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,86,87,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€50M,€190K,2235,Right,4.0,4.0,5.0,High/ Medium,PLAYER_BODY_TYPE_330,Yes,"<span class=""pos pos9"">RDM",6.0,"Aug 9, 2016",nan,2021,6'3,185lbs,80.0,75.0,75.0,86.0,84.0,87.0,85.0,82.0,91.0,90.0,66.0,79.0,73.0,81.0,66.0,90.0,82.0,83.0,89.0,82.0,78.0,64.0,81.0,88.0,83.0,87.0,nan,67.0,65.0,5.0,6.0,2.0,4.0,3.0,CM,86.0,€98.8M,63.0
158023, L. Messi,33,https://cdn.sofifa.com/players/158/023/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,93,93,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€67.5M,€560K,2231,Left,5.0,4.0,4.0,Medium/ Low,Messi,Yes,"<span class=""pos pos25"">ST",10.0,"Jul 1, 2004",nan,2021,5'7,159lbs,85.0,95.0,70.0,91.0,88.0,96.0,93.0,94.0,91.0,96.0,91.0,80.0,91.0,94.0,95.0,86.0,68.0,72.0,69.0,94.0,44.0,40.0,93.0,95.0,75.0,96.0,nan,35.0,24.0,6.0,11.0,15.0,14.0,8.0,RW,93.0,€138.4M,32.0
203551, A. Florenzi,29,https://cdn.sofifa.com/players/203/551/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,81,81,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/light_30.png,€14.5M,€84K,2227,Right,3.0,3.0,4.0,High/ High,PLAYER_BODY_TYPE_377,Yes,"<span class=""pos pos3"">RB",24.0,"Jul 1, 2010",nan,2023,5'8,148lbs,76.0,70.0,72.0,76.0,87.0,77.0,73.0,78.0,75.0,78.0,83.0,79.0,86.0,79.0,81.0,82.0,74.0,86.0,63.0,82.0,79.0,78.0,82.0,76.0,75.0,80.0,nan,79.0,78.0,9.0,8.0,10.0,11.0,10.0,RB,81.0,€26.8M,75.0
223848, S. Milinković-Savić,25,https://cdn.sofifa.com/players/223/848/20_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,85,89,Lazio,https://cdn.sofifa.com/teams/46/light_30.png,€49M,€94K,2225,Right,2.0,4.0,4.0,High/ Medium,Normal (185+),Yes,"<span class=""pos pos13"">RCM",21.0,"Aug 6, 2015",nan,2024,6'3,168lbs,64.0,80.0,86.0,85.0,74.0,86.0,78.0,75.0,85.0,88.0,66.0,72.0,64.0,83.0,63.0,83.0,85.0,85.0,88.0,80.0,79.0,78.0,79.0,85.0,56.0,84.0,nan,79.0,74.0,7.0,10.0,7.0,16.0,7.0,CM,86.0,€87M,78.0
189332, Jordi Alba,31,https://cdn.sofifa.com/players/189/332/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,86,FC Barcelona,https://cdn.sofifa.com/teams/241/light_30.png,€32M,€220K,2224,Left,3.0,3.0,3.0,High/ Medium,PLAYER_BODY_TYPE_268,Yes,"<span class=""pos pos7"">LB",18.0,"Jul 1, 2012",nan,2024,5'7,150lbs,85.0,73.0,70.0,84.0,60.0,81.0,80.0,63.0,79.0,84.0,88.0,88.0,90.0,82.0,85.0,64.0,80.0,88.0,61.0,66.0,76.0,81.0,83.0,78.0,59.0,80.0,nan,80.0,82.0,13.0,15.0,13.0,6.0,13.0,LB,86.0,€65.6M,74.0
20801, Cristiano Ronaldo,35,https://cdn.sofifa.com/players/020/801/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,92,92,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,€46M,€220K,2221,Right,5.0,4.0,5.0,High/ Low,C. Ronaldo,Yes,"<span class=""pos pos26"">LS",7.0,"Jul 10, 2018",nan,2022,6'2,183lbs,84.0,95.0,90.0,82.0,86.0,88.0,81.0,76.0,77.0,92.0,87.0,91.0,87.0,95.0,71.0,94.0,95.0,84.0,78.0,93.0,63.0,29.0,95.0,82.0,84.0,95.0,nan,32.0,24.0,7.0,11.0,15.0,14.0,11.0,ST,92.0,€75.9M,28.0
200145, Casemiro,28,https://cdn.sofifa.com/players/200/145/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€59.5M,€310K,2220,Right,3.0,3.0,2.0,High/ High,PLAYER_BODY_TYPE_358,Yes,"<span class=""pos pos10"">CDM",14.0,"Jul 11, 2013",nan,2023,6'1,185lbs,58.0,64.0,80.0,84.0,63.0,69.0,63.0,74.0,84.0,79.0,60.0,69.0,61.0,87.0,66.0,88.0,87.0,90.0,91.0,81.0,91.0,87.0,72.0,80.0,66.0,84.0,nan,88.0,87.0,13.0,14.0,16.0,12.0,12.0,CDM,89.0,€122M,84.0
183711, J. Henderson,30,https://cdn.sofifa.com/players/183/711/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,86,86,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€36.5M,€140K,2220,Right,2.0,3.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos13"">RCM",14.0,"Jun 9, 2011",nan,2023,6'0,176lbs,82.0,73.0,65.0,86.0,71.0,78.0,80.0,74.0,87.0,84.0,66.0,65.0,69.0,86.0,68.0,77.0,78.0,91.0,78.0,75.0,84.0,85.0,78.0,83.0,64.0,82.0,nan,83.0,77.0,7.0,13.0,7.0,9.0,13.0,CDM,86.0,€67.5M,84.0
231281, T. Alexander-Arnold,21,https://cdn.sofifa.com/players/231/281/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,87,92,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€60M,€110K,2220,Right,2.0,4.0,3.0,High/ Medium,PLAYER_BODY_TYPE_316,Yes,"<span class=""pos pos3"">RB",66.0,"Oct 7, 2015",nan,2024,5'11,152lbs,93.0,56.0,69.0,85.0,62.0,77.0,88.0,85.0,89.0,87.0,77.0,83.0,74.0,83.0,74.0,80.0,66.0,88.0,62.0,74.0,74.0,82.0,76.0,84.0,55.0,81.0,nan,83.0,79.0,14.0,15.0,14.0,6.0,7.0,RB,87.0,€115.5M,79.0
205632, L. Ocampos,25,https://cdn.sofifa.com/players/205/632/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,82,83,Sevilla FC,https://cdn.sofifa.com/teams/481/light_30.png,€26.5M,€40K,2216,Right,2.0,3.0,4.0,High/ High,Normal (185+),No,"<span class=""pos pos27"">LW",5.0,"Jul 3, 2019",nan,2024,6'2,185lbs,79.0,85.0,77.0,80.0,81.0,84.0,80.0,65.0,72.0,84.0,80.0,83.0,79.0,85.0,64.0,84.0,80.0,91.0,81.0,79.0,82.0,72.0,84.0,79.0,79.0,82.0,nan,61.0,55.0,11.0,8.0,15.0,12.0,7.0,ST,84.0,€57.6M,58.0
208421, Saúl,25,https://cdn.sofifa.com/players/208/421/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,84,87,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,€38.5M,€77K,2213,Left,3.0,4.0,3.0,High/ High,Lean (170-185),Yes,"<span class=""pos pos15"">LCM",8.0,"Jul 1, 2013",nan,2026,6'0,168lbs,69.0,78.0,83.0,85.0,76.0,81.0,73.0,60.0,83.0,85.0,67.0,69.0,73.0,84.0,69.0,82.0,80.0,87.0,77.0,81.0,76.0,79.0,82.0,83.0,68.0,83.0,nan,78.0,77.0,7.0,13.0,12.0,10.0,9.0,CM,86.0,€81.8M,77.0
200458, L. Digne,26,https://cdn.sofifa.com/players/200/458/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,84,85,Everton,https://cdn.sofifa.com/teams/7/light_30.png,€31.5M,€110K,2213,Left,2.0,2.0,3.0,High/ Medium,PLAYER_BODY_TYPE_285,Yes,"<span class=""pos pos7"">LB",12.0,"Aug 1, 2018",nan,2023,5'10,163lbs,87.0,60.0,71.0,81.0,68.0,78.0,83.0,83.0,73.0,83.0,78.0,78.0,69.0,83.0,78.0,83.0,92.0,85.0,69.0,76.0,76.0,82.0,72.0,74.0,60.0,80.0,nan,83.0,84.0,6.0,12.0,9.0,6.0,13.0,LB,84.0,€62.2M,78.0
173731, G. Bale,30,https://cdn.sofifa.com/players/173/731/20_60.png,Wales,https://cdn.sofifa.com/flags/gb-wls.png,83,83,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€24.5M,€130K,2213,Left,4.0,3.0,4.0,Medium/ Medium,PLAYER_BODY_TYPE_357,Yes,"<span class=""pos pos28"">SUB",9.0,nan,"<a href=""/team/243/real-madrid/"">Real Madrid</a>","Jun 30, 2021",6'1,181lbs,87.0,81.0,84.0,80.0,85.0,80.0,90.0,87.0,79.0,83.0,86.0,89.0,78.0,79.0,65.0,90.0,82.0,69.0,77.0,87.0,65.0,59.0,83.0,79.0,76.0,85.0,nan,55.0,52.0,15.0,15.0,11.0,5.0,6.0,RW,83.0,nan,54.0
208574, F. Kostić,27,https://cdn.sofifa.com/players/208/574/20_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,83,83,Eintracht Frankfurt,https://cdn.sofifa.com/teams/1824/light_30.png,€27M,€45K,2212,Left,2.0,2.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos16"">LM",10.0,"May 17, 2019",nan,2023,6'0,181lbs,89.0,74.0,59.0,75.0,70.0,85.0,79.0,80.0,73.0,83.0,89.0,87.0,76.0,81.0,77.0,84.0,67.0,91.0,77.0,78.0,78.0,63.0,79.0,81.0,64.0,80.0,nan,72.0,68.0,13.0,14.0,12.0,12.0,13.0,LM,83.0,€45.9M,69.0
209331, M. Salah,28,https://cdn.sofifa.com/players/209/331/20_60.png,Egypt,https://cdn.sofifa.com/flags/eg.png,90,90,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€78M,€250K,2211,Left,3.0,3.0,4.0,High/ Medium,Mohamed Salah,Yes,"<span class=""pos pos23"">RW",11.0,"Jul 1, 2017",nan,2023,5'9,157lbs,79.0,91.0,59.0,84.0,79.0,90.0,83.0,69.0,75.0,89.0,94.0,92.0,91.0,92.0,91.0,80.0,69.0,85.0,75.0,84.0,63.0,55.0,91.0,84.0,83.0,90.0,nan,43.0,41.0,14.0,14.0,9.0,11.0,14.0,RW,90.0,€144.3M,38.0
204923, M. Sabitzer,26,https://cdn.sofifa.com/players/204/923/20_60.png,Austria,https://cdn.sofifa.com/flags/at.png,83,85,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,€31M,€73K,2210,Right,3.0,4.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos11"">LDM",7.0,"Jul 1, 2014",nan,2022,5'10,168lbs,74.0,81.0,60.0,83.0,82.0,79.0,75.0,78.0,79.0,82.0,76.0,83.0,75.0,86.0,80.0,88.0,71.0,84.0,76.0,88.0,77.0,64.0,83.0,83.0,65.0,80.0,nan,64.0,59.0,11.0,13.0,14.0,15.0,13.0,CAM,84.0,€55M,69.0
176676, Marcelo,32,https://cdn.sofifa.com/players/176/676/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,83,83,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,€16M,€170K,2209,Left,4.0,4.0,5.0,High/ Low,PLAYER_BODY_TYPE_353,Yes,"<span class=""pos pos28"">SUB",12.0,"Jan 1, 2007",nan,2022,5'9,165lbs,84.0,73.0,73.0,81.0,63.0,89.0,84.0,67.0,77.0,91.0,81.0,78.0,83.0,82.0,85.0,81.0,76.0,74.0,76.0,70.0,80.0,80.0,81.0,78.0,59.0,82.0,nan,77.0,79.0,12.0,5.0,5.0,5.0,9.0,LB,83.0,€32.8M,71.0
201942, Roberto Firmino,28,https://cdn.sofifa.com/players/201/942/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,87,87,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€52M,€190K,2208,Right,3.0,4.0,5.0,High/ High,PLAYER_BODY_TYPE_315,Yes,"<span class=""pos pos21"">CF",9.0,"Jul 6, 2015",nan,2023,5'11,168lbs,73.0,80.0,75.0,87.0,85.0,90.0,81.0,65.0,76.0,91.0,78.0,77.0,85.0,90.0,86.0,82.0,81.0,88.0,74.0,77.0,75.0,58.0,86.0,86.0,72.0,88.0,nan,64.0,42.0,8.0,11.0,9.0,6.0,10.0,CF,87.0,€96.2M,60.0
1040, 12 Roberto Carlos,38,https://cdn.sofifa.com/players/001/040/12_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,79,79,FC Anzhi Makhachkala,https://cdn.sofifa.com/teams/100766/light_30.png,€0,€30K,2207,Left,2.0,2.0,3.0,Medium/ High,Stocky (170-),Yes,"<span class=""pos pos28"">SUB",3.0,"Jan 1, 2011",nan,2013,5'6,154lbs,80.0,43.0,54.0,78.0,73.0,74.0,88.0,88.0,82.0,82.0,77.0,78.0,74.0,77.0,85.0,91.0,83.0,60.0,84.0,85.0,74.0,82.0,60.0,82.0,79.0,nan,81.0,75.0,84.0,8.0,12.0,10.0,13.0,11.0,CDM,79.0,nan,nan
146530, 19 Dani Alves,35,https://cdn.sofifa.com/players/146/530/19_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,82,82,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/light_30.png,€4.8M,€60K,2205,Right,4.0,3.0,4.0,High/ Medium,Normal (170-185),Yes,"<span class=""pos pos3"">RB",13.0,"Jul 12, 2017",nan,2019,5'8,150lbs,85.0,61.0,71.0,83.0,68.0,84.0,80.0,74.0,81.0,86.0,75.0,77.0,84.0,80.0,87.0,86.0,80.0,74.0,55.0,78.0,82.0,79.0,78.0,79.0,70.0,83.0,72.0,78.0,80.0,5.0,11.0,9.0,6.0,7.0,CAM,81.0,€8.9M,nan
193747, Koke,28,https://cdn.sofifa.com/players/193/747/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,85,85,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,€38M,€92K,2205,Right,3.0,4.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos13"">RCM",6.0,"Jan 1, 2011",nan,2024,5'9,170lbs,85.0,72.0,61.0,87.0,56.0,80.0,85.0,76.0,85.0,84.0,68.0,66.0,73.0,88.0,80.0,83.0,63.0,94.0,75.0,80.0,79.0,80.0,82.0,85.0,59.0,84.0,nan,80.0,70.0,14.0,12.0,5.0,10.0,13.0,CM,85.0,€77.9M,75.0
